Created as New Dataset,Bio-Couture 100% Lyocell 8/2 (Red)
cm-1,%T
3127.00,86.43
3126.00,86.52
3125.00,86.61
3124.00,86.68
3123.00,86.75
3122.00,86.82
3121.00,86.90
3120.00,86.98
3119.00,87.07
3118.00,87.15
3117.00,87.23
3116.00,87.30
3115.00,87.38
3114.00,87.47
3113.00,87.55
3112.00,87.62
3111.00,87.69
3110.00,87.76
3109.00,87.85
3108.00,87.94
3107.00,88.03
3106.00,88.12
3105.00,88.21
3104.00,88.30
3103.00,88.40
3102.00,88.47
3101.00,88.53
3100.00,88.60
3099.00,88.67
3098.00,88.75
3097.00,88.85
3096.00,88.94
3095.00,89.01
3094.00,89.07
3093.00,89.13
3092.00,89.19
3091.00,89.27
3090.00,89.35
3089.00,89.43
3088.00,89.52
3087.00,89.59
3086.00,89.66
3085.00,89.73
3084.00,89.80
3083.00,89.88
3082.00,89.96
3081.00,90.04
3080.00,90.11
3079.00,90.17
3078.00,90.24
3077.00,90.30
3076.00,90.37
3075.00,90.44
3074.00,90.50
3073.00,90.57
3072.00,90.64
3071.00,90.71
3070.00,90.80
3069.00,90.88
3068.00,90.96
3067.00,91.04
3066.00,91.11
3065.00,91.16
3064.00,91.21
3063.00,91.26
3062.00,91.32
3061.00,91.38
3060.00,91.45
3059.00,91.52
3058.00,91.58
3057.00,91.64
3056.00,91.70
3055.00,91.77
3054.00,91.85
3053.00,91.91
3052.00,91.98
3051.00,92.03
3050.00,92.08
3049.00,92.13
3048.00,92.18
3047.00,92.23
3046.00,92.28
3045.00,92.33
3044.00,92.39
3043.00,92.45
3042.00,92.50
3041.00,92.55
3040.00,92.59
3039.00,92.63
3038.00,92.68
3037.00,92.74
3036.00,92.80
3035.00,92.86
3034.00,92.91
3033.00,92.95
3032.00,92.99
3031.00,93.03
3030.00,93.07
3029.00,93.11
3028.00,93.15
3027.00,93.20
3026.00,93.25
3025.00,93.30
3024.00,93.34
3023.00,93.37
3022.00,93.40
3021.00,93.45
3020.00,93.50
3019.00,93.55
3018.00,93.59
3017.00,93.62
3016.00,93.64
3015.00,93.66
3014.00,93.69
3013.00,93.72
3012.00,93.75
3011.00,93.78
3010.00,93.80
3009.00,93.83
3008.00,93.86
3007.00,93.89
3006.00,93.93
3005.00,93.97
3004.00,94.01
3003.00,94.03
3002.00,94.05
3001.00,94.06
3000.00,94.07
2999.00,94.09
2998.00,94.11
2997.00,94.13
2996.00,94.13
2995.00,94.12
2994.00,94.12
2993.00,94.13
2992.00,94.14
2991.00,94.15
2990.00,94.16
2989.00,94.16
2988.00,94.13
2987.00,94.08
2986.00,94.02
2985.00,93.97
2984.00,93.94
2983.00,93.93
2982.00,93.93
2981.00,93.93
2980.00,93.94
2979.00,93.94
2978.00,93.93
2977.00,93.91
2976.00,93.89
2975.00,93.87
2974.00,93.86
2973.00,93.84
2972.00,93.81
2971.00,93.78
2970.00,93.76
2969.00,93.73
2968.00,93.69
2967.00,93.65
2966.00,93.60
2965.00,93.55
2964.00,93.50
2963.00,93.45
2962.00,93.38
2961.00,93.31
2960.00,93.24
2959.00,93.17
2958.00,93.10
2957.00,93.03
2956.00,92.96
2955.00,92.89
2954.00,92.82
2953.00,92.77
2952.00,92.71
2951.00,92.66
2950.00,92.60
2949.00,92.53
2948.00,92.46
2947.00,92.37
2946.00,92.28
2945.00,92.18
2944.00,92.06
2943.00,91.93
2942.00,91.78
2941.00,91.63
2940.00,91.48
2939.00,91.33
2938.00,91.19
2937.00,91.05
2936.00,90.92
2935.00,90.80
2934.00,90.70
2933.00,90.62
2932.00,90.54
2931.00,90.47
2930.00,90.40
2929.00,90.33
2928.00,90.25
2927.00,90.16
2926.00,90.07
2925.00,89.99
2924.00,89.92
2923.00,89.84
2922.00,89.76
2921.00,89.67
2920.00,89.57
2919.00,89.48
2918.00,89.39
2917.00,89.31
2916.00,89.23
2915.00,89.14
2914.00,89.03
2913.00,88.90
2912.00,88.75
2911.00,88.61
2910.00,88.49
2909.00,88.37
2908.00,88.24
2907.00,88.11
2906.00,87.99
2905.00,87.89
2904.00,87.83
2903.00,87.80
2902.00,87.77
2901.00,87.74
2900.00,87.71
2899.00,87.67
2898.00,87.61
2897.00,87.55
2896.00,87.49
2895.00,87.43
2894.00,87.39
2893.00,87.38
2892.00,87.39
2891.00,87.44
2890.00,87.51
2889.00,87.61
2888.00,87.71
2887.00,87.81
2886.00,87.90
2885.00,87.99
2884.00,88.07
2883.00,88.13
2882.00,88.18
2881.00,88.23
2880.00,88.28
2879.00,88.33
2878.00,88.39
2877.00,88.46
2876.00,88.53
2875.00,88.62
2874.00,88.70
2873.00,88.79
2872.00,88.89
2871.00,89.00
2870.00,89.13
2869.00,89.28
2868.00,89.43
2867.00,89.57
2866.00,89.72
2865.00,89.85
2864.00,89.99
2863.00,90.13
2862.00,90.27
2861.00,90.42
2860.00,90.56
2859.00,90.69
2858.00,90.81
2857.00,90.93
2856.00,91.03
2855.00,91.12
2854.00,91.20
2853.00,91.29
2852.00,91.39
2851.00,91.51
2850.00,91.63
2849.00,91.74
2848.00,91.85
2847.00,91.94
2846.00,92.02
2845.00,92.11
2844.00,92.20
2843.00,92.30
2842.00,92.40
2841.00,92.49
2840.00,92.57
2839.00,92.64
2838.00,92.70
2837.00,92.76
2836.00,92.82
2835.00,92.87
2834.00,92.92
2833.00,92.97
2832.00,93.01
2831.00,93.06
2830.00,93.11
2829.00,93.15
2828.00,93.19
2827.00,93.23
2826.00,93.27
2825.00,93.31
2824.00,93.34
2823.00,93.38
2822.00,93.42
2821.00,93.45
2820.00,93.49
2819.00,93.52
2818.00,93.55
2817.00,93.58
2816.00,93.61
2815.00,93.66
2814.00,93.70
2813.00,93.74
2812.00,93.76
2811.00,93.78
2810.00,93.80
2809.00,93.84
2808.00,93.88
2807.00,93.92
2806.00,93.94
2805.00,93.95
2804.00,93.97
2803.00,94.01
2802.00,94.05
2801.00,94.09
2800.00,94.13
2799.00,94.17
2798.00,94.21
2797.00,94.25
2796.00,94.29
2795.00,94.32
2794.00,94.33
2793.00,94.34
2792.00,94.36
2791.00,94.39
2790.00,94.42
2789.00,94.45
2788.00,94.48
2787.00,94.50
2786.00,94.52
2785.00,94.56
2784.00,94.59
2783.00,94.61
2782.00,94.64
2781.00,94.67
2780.00,94.71
2779.00,94.75
2778.00,94.77
2777.00,94.79
2776.00,94.81
2775.00,94.83
2774.00,94.86
2773.00,94.89
2772.00,94.92
2771.00,94.95
2770.00,94.97
2769.00,94.99
2768.00,95.00
2767.00,95.02
2766.00,95.03
2765.00,95.03
2764.00,95.04
2763.00,95.05
2762.00,95.07
2761.00,95.09
2760.00,95.11
2759.00,95.12
2758.00,95.13
2757.00,95.15
2756.00,95.16
2755.00,95.16
2754.00,95.15
2753.00,95.14
2752.00,95.14
2751.00,95.15
2750.00,95.17
2749.00,95.19
2748.00,95.19
2747.00,95.19
2746.00,95.19
2745.00,95.18
2744.00,95.19
2743.00,95.20
2742.00,95.21
2741.00,95.21
2740.00,95.21
2739.00,95.21
2738.00,95.20
2737.00,95.19
2736.00,95.19
2735.00,95.20
2734.00,95.22
2733.00,95.24
2732.00,95.25
2731.00,95.26
2730.00,95.25
2729.00,95.25
2728.00,95.25
2727.00,95.26
2726.00,95.28
2725.00,95.31
2724.00,95.33
2723.00,95.34
2722.00,95.35
2721.00,95.36
2720.00,95.38
2719.00,95.41
2718.00,95.43
2717.00,95.45
2716.00,95.46
2715.00,95.48
2714.00,95.49
2713.00,95.49
2712.00,95.49
2711.00,95.48
2710.00,95.48
2709.00,95.49
2708.00,95.51
2707.00,95.53
2706.00,95.57
2705.00,95.60
2704.00,95.62
2703.00,95.64
2702.00,95.65
2701.00,95.65
2700.00,95.65
2699.00,95.66
2698.00,95.66
2697.00,95.67
2696.00,95.68
2695.00,95.70
2694.00,95.72
2693.00,95.74
2692.00,95.76
2691.00,95.77
2690.00,95.77
2689.00,95.77
2688.00,95.78
2687.00,95.78
2686.00,95.80
2685.00,95.81
2684.00,95.83
2683.00,95.85
2682.00,95.89
2681.00,95.92
2680.00,95.96
2679.00,95.98
2678.00,96.00
2677.00,96.00
2676.00,96.00
2675.00,96.00
2674.00,96.01
2673.00,96.02
2672.00,96.03
2671.00,96.05
2670.00,96.06
2669.00,96.07
2668.00,96.08
2667.00,96.10
2666.00,96.11
2665.00,96.13
2664.00,96.14
2663.00,96.15
2662.00,96.15
2661.00,96.16
2660.00,96.16
2659.00,96.16
2658.00,96.17
2657.00,96.18
2656.00,96.19
2655.00,96.19
2654.00,96.19
2653.00,96.18
2652.00,96.17
2651.00,96.16
2650.00,96.16
2649.00,96.16
2648.00,96.17
2647.00,96.18
2646.00,96.20
2645.00,96.23
2644.00,96.25
2643.00,96.25
2642.00,96.24
2641.00,96.22
2640.00,96.23
2639.00,96.24
2638.00,96.25
2637.00,96.25
2636.00,96.24
2635.00,96.25
2634.00,96.26
2633.00,96.27
2632.00,96.27
2631.00,96.28
2630.00,96.28
2629.00,96.28
2628.00,96.29
2627.00,96.29
2626.00,96.30
2625.00,96.32
2624.00,96.32
2623.00,96.33
2622.00,96.33
2621.00,96.33
2620.00,96.34
2619.00,96.36
2618.00,96.37
2617.00,96.38
2616.00,96.38
2615.00,96.39
2614.00,96.39
2613.00,96.39
2612.00,96.38
2611.00,96.38
2610.00,96.37
2609.00,96.37
2608.00,96.37
2607.00,96.36
2606.00,96.36
2605.00,96.36
2604.00,96.37
2603.00,96.38
2602.00,96.39
2601.00,96.39
2600.00,96.39
2599.00,96.38
2598.00,96.37
2597.00,96.36
2596.00,96.36
2595.00,96.37
2594.00,96.38
2593.00,96.39
2592.00,96.40
2591.00,96.42
2590.00,96.43
2589.00,96.44
2588.00,96.43
2587.00,96.42
2586.00,96.40
2585.00,96.39
2584.00,96.38
2583.00,96.40
2582.00,96.41
2581.00,96.43
2580.00,96.44
2579.00,96.45
2578.00,96.44
2577.00,96.44
2576.00,96.43
2575.00,96.43
2574.00,96.43
2573.00,96.43
2572.00,96.43
2571.00,96.43
2570.00,96.44
2569.00,96.46
2568.00,96.48
2567.00,96.50
2566.00,96.51
2565.00,96.52
2564.00,96.52
2563.00,96.52
2562.00,96.51
2561.00,96.51
2560.00,96.51
2559.00,96.50
2558.00,96.49
2557.00,96.49
2556.00,96.48
2555.00,96.48
2554.00,96.49
2553.00,96.49
2552.00,96.50
2551.00,96.50
2550.00,96.50
2549.00,96.49
2548.00,96.48
2547.00,96.48
2546.00,96.48
2545.00,96.48
2544.00,96.48
2543.00,96.49
2542.00,96.50
2541.00,96.51
2540.00,96.51
2539.00,96.51
2538.00,96.51
2537.00,96.53
2536.00,96.55
2535.00,96.56
2534.00,96.55
2533.00,96.54
2532.00,96.53
2531.00,96.52
2530.00,96.51
2529.00,96.50
2528.00,96.49
2527.00,96.49
2526.00,96.49
2525.00,96.50
