Created as New Dataset,4 FMC American Viscose
cm-1,%T
2885.00,94.40
2884.00,94.41
2883.00,94.41
2882.00,94.41
2881.00,94.41
2880.00,94.42
2879.00,94.42
2878.00,94.42
2877.00,94.43
2876.00,94.43
2875.00,94.44
2874.00,94.45
2873.00,94.46
2872.00,94.47
2871.00,94.48
2870.00,94.50
2869.00,94.53
2868.00,94.56
2867.00,94.59
2866.00,94.61
2865.00,94.62
2864.00,94.62
2863.00,94.63
2862.00,94.64
2861.00,94.65
2860.00,94.65
2859.00,94.65
2858.00,94.64
2857.00,94.64
2856.00,94.64
2855.00,94.65
2854.00,94.67
2853.00,94.71
2852.00,94.76
2851.00,94.82
2850.00,94.88
2849.00,94.93
2848.00,94.97
2847.00,95.03
2846.00,95.08
2845.00,95.13
2844.00,95.17
2843.00,95.21
2842.00,95.25
2841.00,95.28
2840.00,95.31
2839.00,95.34
2838.00,95.37
2837.00,95.41
2836.00,95.43
2835.00,95.46
2834.00,95.47
2833.00,95.49
2832.00,95.50
2831.00,95.51
2830.00,95.52
2829.00,95.52
2828.00,95.53
2827.00,95.55
2826.00,95.57
2825.00,95.59
2824.00,95.60
2823.00,95.60
2822.00,95.59
2821.00,95.57
2820.00,95.57
2819.00,95.57
2818.00,95.59
2817.00,95.61
2816.00,95.62
2815.00,95.62
2814.00,95.62
2813.00,95.62
2812.00,95.63
2811.00,95.65
2810.00,95.67
2809.00,95.69
2808.00,95.70
2807.00,95.70
2806.00,95.69
2805.00,95.69
2804.00,95.70
2803.00,95.71
2802.00,95.72
2801.00,95.72
2800.00,95.72
2799.00,95.72
2798.00,95.71
2797.00,95.71
2796.00,95.72
2795.00,95.73
2794.00,95.74
2793.00,95.74
2792.00,95.74
2791.00,95.73
2790.00,95.73
2789.00,95.74
2788.00,95.75
2787.00,95.76
2786.00,95.77
2785.00,95.78
2784.00,95.79
2783.00,95.81
2782.00,95.82
2781.00,95.82
2780.00,95.82
2779.00,95.82
2778.00,95.82
2777.00,95.83
2776.00,95.82
2775.00,95.82
2774.00,95.81
2773.00,95.81
2772.00,95.82
2771.00,95.83
2770.00,95.83
2769.00,95.83
2768.00,95.83
2767.00,95.83
2766.00,95.83
2765.00,95.84
2764.00,95.84
2763.00,95.85
2762.00,95.85
2761.00,95.85
2760.00,95.84
2759.00,95.82
2758.00,95.81
2757.00,95.81
2756.00,95.82
2755.00,95.83
2754.00,95.84
2753.00,95.84
2752.00,95.84
2751.00,95.84
2750.00,95.84
2749.00,95.84
2748.00,95.84
2747.00,95.83
2746.00,95.82
2745.00,95.82
2744.00,95.81
2743.00,95.81
2742.00,95.81
2741.00,95.81
2740.00,95.81
2739.00,95.81
2738.00,95.81
2737.00,95.81
2736.00,95.81
2735.00,95.81
2734.00,95.82
2733.00,95.82
2732.00,95.82
2731.00,95.82
2730.00,95.83
2729.00,95.82
2728.00,95.81
2727.00,95.81
2726.00,95.80
2725.00,95.81
2724.00,95.81
2723.00,95.82
2722.00,95.83
2721.00,95.83
2720.00,95.84
2719.00,95.84
2718.00,95.83
2717.00,95.83
2716.00,95.84
2715.00,95.85
2714.00,95.86
2713.00,95.86
2712.00,95.87
2711.00,95.89
2710.00,95.91
2709.00,95.92
2708.00,95.91
2707.00,95.90
2706.00,95.89
2705.00,95.89
2704.00,95.89
2703.00,95.89
2702.00,95.89
2701.00,95.88
2700.00,95.87
2699.00,95.87
2698.00,95.88
2697.00,95.90
2696.00,95.92
2695.00,95.93
2694.00,95.93
2693.00,95.92
2692.00,95.91
2691.00,95.90
2690.00,95.90
2689.00,95.89
2688.00,95.89
2687.00,95.89
2686.00,95.89
2685.00,95.90
2684.00,95.90
2683.00,95.91
2682.00,95.92
2681.00,95.93
2680.00,95.95
2679.00,95.95
2678.00,95.93
2677.00,95.91
2676.00,95.90
2675.00,95.90
2674.00,95.91
2673.00,95.92
2672.00,95.93
2671.00,95.94
2670.00,95.95
2669.00,95.95
2668.00,95.95
2667.00,95.95
2666.00,95.94
2665.00,95.93
2664.00,95.91
2663.00,95.88
2662.00,95.86
2661.00,95.84
2660.00,95.84
2659.00,95.83
2658.00,95.82
2657.00,95.82
2656.00,95.80
2655.00,95.79
2654.00,95.77
2653.00,95.75
2652.00,95.73
2651.00,95.72
2650.00,95.71
2649.00,95.71
2648.00,95.70
2647.00,95.69
2646.00,95.68
2645.00,95.66
2644.00,95.64
2643.00,95.63
2642.00,95.62
2641.00,95.61
2640.00,95.60
2639.00,95.60
2638.00,95.59
2637.00,95.58
2636.00,95.56
2635.00,95.54
2634.00,95.53
2633.00,95.54
2632.00,95.54
2631.00,95.54
2630.00,95.54
2629.00,95.54
2628.00,95.54
2627.00,95.54
2626.00,95.54
2625.00,95.53
2624.00,95.53
2623.00,95.53
2622.00,95.52
2621.00,95.51
2620.00,95.50
2619.00,95.51
2618.00,95.53
2617.00,95.53
2616.00,95.52
2615.00,95.49
2614.00,95.46
2613.00,95.44
2612.00,95.43
2611.00,95.43
2610.00,95.43
2609.00,95.43
2608.00,95.43
2607.00,95.42
2606.00,95.41
2605.00,95.40
2604.00,95.40
2603.00,95.39
2602.00,95.39
2601.00,95.39
2600.00,95.38
2599.00,95.38
2598.00,95.38
2597.00,95.37
2596.00,95.36
2595.00,95.35
2594.00,95.34
2593.00,95.33
2592.00,95.30
2591.00,95.28
2590.00,95.26
2589.00,95.26
2588.00,95.26
2587.00,95.25
2586.00,95.25
2585.00,95.25
2584.00,95.25
2583.00,95.27
2582.00,95.28
2581.00,95.30
2580.00,95.30
2579.00,95.30
2578.00,95.30
2577.00,95.29
2576.00,95.28
2575.00,95.27
2574.00,95.26
2573.00,95.25
2572.00,95.23
2571.00,95.21
2570.00,95.20
2569.00,95.20
2568.00,95.21
2567.00,95.22
2566.00,95.23
2565.00,95.23
2564.00,95.22
2563.00,95.21
2562.00,95.19
2561.00,95.18
2560.00,95.19
2559.00,95.21
2558.00,95.25
2557.00,95.26
2556.00,95.25
2555.00,95.21
2554.00,95.16
2553.00,95.14
2552.00,95.14
2551.00,95.16
2550.00,95.18
2549.00,95.21
2548.00,95.23
2547.00,95.23
2546.00,95.23
2545.00,95.23
2544.00,95.23
2543.00,95.24
2542.00,95.25
2541.00,95.24
2540.00,95.23
2539.00,95.21
2538.00,95.18
2537.00,95.16
2536.00,95.13
2535.00,95.11
2534.00,95.11
2533.00,95.12
2532.00,95.15
2531.00,95.18
2530.00,95.20
2529.00,95.21
2528.00,95.21
2527.00,95.19
2526.00,95.18
2525.00,95.18
2524.00,95.19
2523.00,95.20
2522.00,95.21
2521.00,95.19
2520.00,95.17
2519.00,95.15
2518.00,95.15
2517.00,95.17
2516.00,95.19
2515.00,95.20
2514.00,95.19
2513.00,95.17
2512.00,95.16
2511.00,95.17
2510.00,95.19
2509.00,95.20
2508.00,95.20
2507.00,95.20
2506.00,95.21
2505.00,95.22
2504.00,95.24
2503.00,95.24
2502.00,95.24
2501.00,95.24
2500.00,95.25
2499.00,95.26
2498.00,95.26
2497.00,95.24
2496.00,95.22
2495.00,95.20
2494.00,95.19
2493.00,95.19
2492.00,95.18
2491.00,95.17
2490.00,95.17
2489.00,95.17
2488.00,95.18
2487.00,95.19
2486.00,95.20
2485.00,95.21
2484.00,95.21
2483.00,95.20
2482.00,95.20
2481.00,95.20
2480.00,95.21
2479.00,95.21
2478.00,95.19
2477.00,95.17
2476.00,95.15
2475.00,95.15
2474.00,95.15
2473.00,95.15
2472.00,95.15
2471.00,95.15
2470.00,95.16
2469.00,95.16
2468.00,95.17
2467.00,95.17
2466.00,95.18
2465.00,95.18
2464.00,95.18
2463.00,95.17
2462.00,95.18
