Created as New Dataset,16.4 Dyed (red colour)
cm-1,%T
2995.00,95.57
2994.00,95.56
2993.00,95.54
2992.00,95.52
2991.00,95.48
2990.00,95.44
2989.00,95.41
2988.00,95.39
2987.00,95.36
2986.00,95.34
2985.00,95.32
2984.00,95.30
2983.00,95.29
2982.00,95.27
2981.00,95.26
2980.00,95.25
2979.00,95.25
2978.00,95.25
2977.00,95.26
2976.00,95.26
2975.00,95.26
2974.00,95.24
2973.00,95.23
2972.00,95.21
2971.00,95.21
2970.00,95.21
2969.00,95.22
2968.00,95.23
2967.00,95.24
2966.00,95.26
2965.00,95.28
2964.00,95.28
2963.00,95.28
2962.00,95.28
2961.00,95.29
2960.00,95.30
2959.00,95.32
2958.00,95.33
2957.00,95.33
2956.00,95.31
2955.00,95.29
2954.00,95.27
2953.00,95.26
2952.00,95.24
2951.00,95.23
2950.00,95.23
2949.00,95.23
2948.00,95.23
2947.00,95.22
2946.00,95.20
2945.00,95.16
2944.00,95.13
2943.00,95.10
2942.00,95.07
2941.00,95.03
2940.00,94.98
2939.00,94.93
2938.00,94.90
2937.00,94.88
2936.00,94.86
2935.00,94.83
2934.00,94.79
2933.00,94.74
2932.00,94.72
2931.00,94.71
2930.00,94.70
2929.00,94.69
2928.00,94.68
2927.00,94.67
2926.00,94.66
2925.00,94.65
2924.00,94.63
2923.00,94.62
2922.00,94.62
2921.00,94.62
2920.00,94.63
2919.00,94.65
2918.00,94.68
2917.00,94.73
2916.00,94.79
2915.00,94.87
2914.00,94.95
2913.00,95.02
2912.00,95.10
2911.00,95.17
2910.00,95.23
2909.00,95.29
2908.00,95.34
2907.00,95.39
2906.00,95.43
2905.00,95.45
2904.00,95.47
2903.00,95.47
2902.00,95.48
2901.00,95.50
2900.00,95.53
2899.00,95.56
2898.00,95.58
2897.00,95.61
2896.00,95.64
2895.00,95.65
2894.00,95.67
2893.00,95.68
2892.00,95.69
2891.00,95.69
2890.00,95.69
2889.00,95.69
2888.00,95.70
2887.00,95.72
2886.00,95.74
2885.00,95.76
2884.00,95.75
2883.00,95.74
2882.00,95.73
2881.00,95.73
2880.00,95.73
2879.00,95.72
2878.00,95.71
2877.00,95.69
2876.00,95.69
2875.00,95.69
2874.00,95.71
2873.00,95.72
2872.00,95.73
2871.00,95.74
2870.00,95.75
2869.00,95.76
2868.00,95.78
2867.00,95.81
2866.00,95.84
2865.00,95.87
2864.00,95.88
2863.00,95.89
2862.00,95.88
2861.00,95.88
2860.00,95.88
2859.00,95.88
2858.00,95.89
2857.00,95.89
2856.00,95.89
2855.00,95.88
2854.00,95.86
2853.00,95.83
2852.00,95.81
2851.00,95.78
2850.00,95.78
2849.00,95.79
2848.00,95.83
2847.00,95.89
2846.00,95.97
2845.00,96.06
2844.00,96.15
2843.00,96.22
2842.00,96.27
2841.00,96.31
2840.00,96.34
2839.00,96.36
2838.00,96.38
2837.00,96.39
2836.00,96.39
2835.00,96.39
2834.00,96.40
2833.00,96.41
2832.00,96.42
2831.00,96.44
2830.00,96.46
2829.00,96.48
2828.00,96.49
2827.00,96.51
2826.00,96.51
2825.00,96.51
2824.00,96.51
2823.00,96.50
2822.00,96.50
2821.00,96.50
2820.00,96.52
2819.00,96.53
2818.00,96.54
2817.00,96.55
2816.00,96.56
2815.00,96.57
2814.00,96.59
2813.00,96.58
2812.00,96.57
2811.00,96.56
2810.00,96.56
2809.00,96.56
2808.00,96.57
2807.00,96.57
2806.00,96.57
2805.00,96.58
2804.00,96.58
2803.00,96.59
2802.00,96.61
2801.00,96.64
2800.00,96.66
2799.00,96.67
2798.00,96.66
2797.00,96.65
2796.00,96.64
2795.00,96.64
2794.00,96.65
2793.00,96.66
2792.00,96.66
2791.00,96.66
2790.00,96.66
2789.00,96.65
2788.00,96.65
2787.00,96.67
2786.00,96.68
2785.00,96.68
2784.00,96.69
2783.00,96.69
2782.00,96.69
2781.00,96.70
2780.00,96.71
2779.00,96.72
2778.00,96.72
2777.00,96.72
2776.00,96.72
2775.00,96.73
2774.00,96.73
2773.00,96.74
2772.00,96.74
2771.00,96.75
2770.00,96.77
2769.00,96.79
2768.00,96.80
2767.00,96.81
2766.00,96.82
2765.00,96.83
2764.00,96.84
2763.00,96.86
2762.00,96.86
2761.00,96.86
2760.00,96.85
2759.00,96.85
2758.00,96.86
2757.00,96.87
2756.00,96.89
2755.00,96.90
2754.00,96.90
2753.00,96.89
2752.00,96.89
2751.00,96.89
2750.00,96.90
2749.00,96.91
2748.00,96.91
2747.00,96.92
2746.00,96.92
2745.00,96.93
2744.00,96.93
2743.00,96.93
2742.00,96.92
2741.00,96.93
2740.00,96.94
2739.00,96.95
2738.00,96.96
2737.00,96.96
2736.00,96.97
2735.00,96.97
2734.00,96.97
2733.00,96.96
2732.00,96.95
2731.00,96.96
2730.00,96.97
2729.00,96.99
2728.00,97.00
2727.00,97.00
2726.00,96.99
2725.00,96.99
2724.00,96.99
2723.00,96.99
2722.00,97.00
2721.00,97.01
2720.00,97.03
2719.00,97.04
2718.00,97.06
2717.00,97.07
2716.00,97.08
2715.00,97.09
2714.00,97.09
2713.00,97.09
2712.00,97.09
2711.00,97.09
2710.00,97.08
2709.00,97.08
2708.00,97.08
2707.00,97.09
2706.00,97.10
2705.00,97.11
2704.00,97.13
2703.00,97.13
2702.00,97.13
2701.00,97.13
2700.00,97.13
2699.00,97.14
2698.00,97.15
2697.00,97.15
2696.00,97.14
2695.00,97.13
2694.00,97.14
2693.00,97.14
2692.00,97.15
2691.00,97.15
2690.00,97.15
2689.00,97.13
2688.00,97.12
2687.00,97.11
2686.00,97.10
2685.00,97.11
2684.00,97.12
2683.00,97.14
2682.00,97.16
2681.00,97.18
2680.00,97.20
2679.00,97.20
2678.00,97.19
2677.00,97.17
2676.00,97.16
2675.00,97.15
2674.00,97.15
2673.00,97.15
2672.00,97.17
2671.00,97.18
2670.00,97.20
2669.00,97.20
2668.00,97.20
2667.00,97.20
2666.00,97.20
2665.00,97.21
2664.00,97.21
2663.00,97.21
2662.00,97.19
2661.00,97.18
2660.00,97.17
2659.00,97.16
2658.00,97.16
2657.00,97.15
2656.00,97.14
2655.00,97.13
2654.00,97.13
2653.00,97.13
2652.00,97.13
2651.00,97.13
2650.00,97.13
2649.00,97.13
2648.00,97.12
2647.00,97.11
2646.00,97.10
2645.00,97.09
2644.00,97.08
2643.00,97.07
2642.00,97.05
2641.00,97.04
2640.00,97.02
2639.00,97.02
2638.00,97.01
2637.00,97.01
2636.00,97.02
2635.00,97.03
2634.00,97.02
2633.00,96.99
2632.00,96.95
2631.00,96.92
2630.00,96.92
2629.00,96.92
2628.00,96.93
2627.00,96.94
2626.00,96.95
2625.00,96.95
2624.00,96.95
2623.00,96.94
2622.00,96.92
2621.00,96.91
2620.00,96.90
2619.00,96.90
2618.00,96.89
2617.00,96.88
2616.00,96.88
2615.00,96.88
2614.00,96.88
2613.00,96.86
2612.00,96.84
2611.00,96.83
2610.00,96.83
2609.00,96.83
2608.00,96.83
2607.00,96.84
2606.00,96.84
2605.00,96.84
2604.00,96.84
2603.00,96.84
2602.00,96.84
2601.00,96.84
2600.00,96.84
2599.00,96.84
2598.00,96.86
2597.00,96.87
2596.00,96.89
2595.00,96.89
2594.00,96.88
2593.00,96.86
2592.00,96.83
2591.00,96.81
2590.00,96.80
2589.00,96.78
2588.00,96.78
2587.00,96.78
2586.00,96.80
2585.00,96.82
2584.00,96.83
2583.00,96.83
2582.00,96.84
2581.00,96.85
2580.00,96.86
2579.00,96.85
2578.00,96.84
2577.00,96.82
2576.00,96.80
2575.00,96.79
