Created as New Dataset,56 Lenzing
cm-1,%T
2540.00,98.64
2539.00,98.60
2538.00,98.58
2537.00,98.58
2536.00,98.60
2535.00,98.63
2534.00,98.64
2533.00,98.64
2532.00,98.65
2531.00,98.66
2530.00,98.66
2529.00,98.66
2528.00,98.66
2527.00,98.65
2526.00,98.64
2525.00,98.65
2524.00,98.66
2523.00,98.68
2522.00,98.69
2521.00,98.68
2520.00,98.67
2519.00,98.67
2518.00,98.66
2517.00,98.66
2516.00,98.66
2515.00,98.65
2514.00,98.65
2513.00,98.66
2512.00,98.68
2511.00,98.70
2510.00,98.71
2509.00,98.70
2508.00,98.68
2507.00,98.67
2506.00,98.67
2505.00,98.68
2504.00,98.68
2503.00,98.68
2502.00,98.68
2501.00,98.68
2500.00,98.68
2499.00,98.67
2498.00,98.68
2497.00,98.68
2496.00,98.68
2495.00,98.67
2494.00,98.65
2493.00,98.64
2492.00,98.65
2491.00,98.67
2490.00,98.69
2489.00,98.69
2488.00,98.69
2487.00,98.67
2486.00,98.66
2485.00,98.66
2484.00,98.67
2483.00,98.69
2482.00,98.69
2481.00,98.69
2480.00,98.69
2479.00,98.69
2478.00,98.69
2477.00,98.68
2476.00,98.69
2475.00,98.71
2474.00,98.73
2473.00,98.74
2472.00,98.75
2471.00,98.76
2470.00,98.77
2469.00,98.77
2468.00,98.76
2467.00,98.73
2466.00,98.70
2465.00,98.67
2464.00,98.65
2463.00,98.65
2462.00,98.66
2461.00,98.67
2460.00,98.67
