Created as New Dataset,17.4 Tussah frrom India
cm-1,%T
2758.00,100.71
2757.00,100.72
2756.00,100.73
2755.00,100.73
2754.00,100.73
2753.00,100.73
2752.00,100.74
2751.00,100.76
2750.00,100.77
2749.00,100.77
2748.00,100.76
2747.00,100.75
2746.00,100.75
2745.00,100.77
2744.00,100.78
2743.00,100.79
2742.00,100.79
2741.00,100.79
2740.00,100.78
2739.00,100.77
2738.00,100.78
2737.00,100.79
2736.00,100.81
2735.00,100.82
2734.00,100.83
2733.00,100.84
2732.00,100.85
2731.00,100.85
2730.00,100.85
2729.00,100.85
2728.00,100.85
2727.00,100.85
2726.00,100.85
2725.00,100.85
2724.00,100.85
2723.00,100.85
2722.00,100.86
2721.00,100.86
2720.00,100.86
2719.00,100.85
2718.00,100.83
2717.00,100.83
2716.00,100.82
2715.00,100.83
2714.00,100.84
2713.00,100.84
2712.00,100.85
2711.00,100.86
2710.00,100.88
2709.00,100.90
2708.00,100.91
2707.00,100.91
2706.00,100.91
2705.00,100.91
2704.00,100.92
2703.00,100.91
2702.00,100.91
2701.00,100.90
2700.00,100.90
2699.00,100.90
2698.00,100.89
2697.00,100.89
2696.00,100.89
2695.00,100.90
2694.00,100.90
2693.00,100.91
2692.00,100.90
2691.00,100.90
2690.00,100.90
2689.00,100.91
2688.00,100.92
2687.00,100.93
2686.00,100.93
2685.00,100.93
2684.00,100.93
2683.00,100.92
2682.00,100.91
2681.00,100.90
2680.00,100.91
2679.00,100.92
2678.00,100.93
2677.00,100.94
2676.00,100.95
2675.00,100.95
2674.00,100.95
2673.00,100.95
2672.00,100.94
2671.00,100.94
2670.00,100.94
2669.00,100.95
2668.00,100.96
2667.00,100.96
2666.00,100.96
2665.00,100.94
2664.00,100.92
2663.00,100.91
2662.00,100.90
2661.00,100.90
2660.00,100.90
2659.00,100.90
2658.00,100.89
2657.00,100.89
2656.00,100.89
2655.00,100.89
2654.00,100.89
2653.00,100.89
2652.00,100.89
2651.00,100.90
2650.00,100.90
2649.00,100.89
2648.00,100.88
2647.00,100.87
2646.00,100.87
2645.00,100.86
2644.00,100.86
2643.00,100.85
2642.00,100.85
2641.00,100.85
2640.00,100.85
2639.00,100.83
2638.00,100.82
2637.00,100.80
2636.00,100.80
2635.00,100.82
2634.00,100.84
2633.00,100.85
2632.00,100.84
2631.00,100.82
2630.00,100.80
2629.00,100.79
2628.00,100.79
2627.00,100.80
2626.00,100.80
2625.00,100.79
2624.00,100.77
2623.00,100.75
2622.00,100.75
2621.00,100.76
2620.00,100.77
2619.00,100.79
2618.00,100.80
2617.00,100.81
2616.00,100.82
2615.00,100.82
2614.00,100.81
2613.00,100.80
2612.00,100.80
2611.00,100.81
2610.00,100.81
2609.00,100.80
2608.00,100.79
2607.00,100.77
2606.00,100.77
2605.00,100.77
2604.00,100.77
2603.00,100.77
2602.00,100.76
2601.00,100.76
2600.00,100.75
2599.00,100.75
2598.00,100.75
2597.00,100.74
2596.00,100.74
2595.00,100.75
2594.00,100.76
2593.00,100.79
2592.00,100.81
2591.00,100.81
2590.00,100.78
2589.00,100.76
2588.00,100.74
2587.00,100.73
2586.00,100.72
2585.00,100.73
2584.00,100.74
2583.00,100.75
2582.00,100.77
2581.00,100.77
2580.00,100.78
2579.00,100.77
2578.00,100.75
2577.00,100.74
2576.00,100.75
2575.00,100.76
2574.00,100.76
2573.00,100.76
2572.00,100.75
2571.00,100.74
2570.00,100.73
2569.00,100.74
2568.00,100.75
2567.00,100.77
2566.00,100.79
2565.00,100.79
2564.00,100.79
2563.00,100.78
2562.00,100.76
2561.00,100.73
2560.00,100.71
2559.00,100.70
2558.00,100.71
2557.00,100.71
2556.00,100.72
2555.00,100.72
2554.00,100.71
2553.00,100.71
2552.00,100.71
2551.00,100.72
2550.00,100.73
2549.00,100.73
2548.00,100.74
2547.00,100.74
2546.00,100.75
2545.00,100.75
2544.00,100.75
2543.00,100.75
2542.00,100.76
2541.00,100.77
2540.00,100.77
2539.00,100.77
2538.00,100.76
2537.00,100.73
2536.00,100.69
2535.00,100.67
2534.00,100.68
2533.00,100.71
2532.00,100.75
2531.00,100.79
2530.00,100.82
2529.00,100.83
2528.00,100.82
2527.00,100.80
2526.00,100.78
2525.00,100.77
2524.00,100.78
2523.00,100.79
2522.00,100.80
2521.00,100.80
2520.00,100.78
2519.00,100.75
2518.00,100.72
2517.00,100.70
2516.00,100.72
2515.00,100.75
2514.00,100.77
2513.00,100.76
2512.00,100.74
2511.00,100.72
2510.00,100.73
2509.00,100.75
2508.00,100.78
2507.00,100.80
2506.00,100.81
2505.00,100.80
2504.00,100.80
2503.00,100.78
2502.00,100.77
2501.00,100.76
2500.00,100.77
2499.00,100.78
2498.00,100.80
2497.00,100.80
2496.00,100.78
2495.00,100.76
2494.00,100.74
2493.00,100.74
2492.00,100.75
2491.00,100.78
2490.00,100.80
2489.00,100.81
2488.00,100.80
2487.00,100.77
2486.00,100.75
2485.00,100.75
2484.00,100.76
2483.00,100.78
2482.00,100.80
2481.00,100.80
2480.00,100.79
2479.00,100.77
2478.00,100.75
2477.00,100.74
2476.00,100.73
2475.00,100.74
2474.00,100.75
2473.00,100.75
2472.00,100.75
2471.00,100.74
2470.00,100.75
2469.00,100.76
2468.00,100.76
2467.00,100.76
2466.00,100.76
2465.00,100.76
2464.00,100.76
2463.00,100.77
