Created as New Dataset,75 Nylon Allied Signal Fibers
cm-1,%T
2702.00,100.49
2701.00,100.48
2700.00,100.47
2699.00,100.46
2698.00,100.46
2697.00,100.47
2696.00,100.48
2695.00,100.50
2694.00,100.51
2693.00,100.52
2692.00,100.52
2691.00,100.52
2690.00,100.52
2689.00,100.51
2688.00,100.51
2687.00,100.51
2686.00,100.50
2685.00,100.50
2684.00,100.51
2683.00,100.53
2682.00,100.53
2681.00,100.53
2680.00,100.53
2679.00,100.53
2678.00,100.54
2677.00,100.54
2676.00,100.54
2675.00,100.54
2674.00,100.54
2673.00,100.54
2672.00,100.53
2671.00,100.53
2670.00,100.51
2669.00,100.50
2668.00,100.50
2667.00,100.50
2666.00,100.51
2665.00,100.51
2664.00,100.51
2663.00,100.51
2662.00,100.51
2661.00,100.52
2660.00,100.52
2659.00,100.52
2658.00,100.52
2657.00,100.52
2656.00,100.52
2655.00,100.52
2654.00,100.51
2653.00,100.50
2652.00,100.50
2651.00,100.50
2650.00,100.49
2649.00,100.47
2648.00,100.45
2647.00,100.43
2646.00,100.43
2645.00,100.43
2644.00,100.44
2643.00,100.44
2642.00,100.45
2641.00,100.45
2640.00,100.46
2639.00,100.46
2638.00,100.46
2637.00,100.45
2636.00,100.44
2635.00,100.42
2634.00,100.42
2633.00,100.43
2632.00,100.44
2631.00,100.44
2630.00,100.44
2629.00,100.43
2628.00,100.43
2627.00,100.44
2626.00,100.45
2625.00,100.47
2624.00,100.47
2623.00,100.47
2622.00,100.46
2621.00,100.46
2620.00,100.46
2619.00,100.45
2618.00,100.43
2617.00,100.42
2616.00,100.42
2615.00,100.43
2614.00,100.45
2613.00,100.47
2612.00,100.49
2611.00,100.50
2610.00,100.49
2609.00,100.47
2608.00,100.44
2607.00,100.42
2606.00,100.42
2605.00,100.44
2604.00,100.46
2603.00,100.48
2602.00,100.50
2601.00,100.51
2600.00,100.52
2599.00,100.50
2598.00,100.47
2597.00,100.44
2596.00,100.44
2595.00,100.44
2594.00,100.45
2593.00,100.45
2592.00,100.46
2591.00,100.46
2590.00,100.46
2589.00,100.46
2588.00,100.46
2587.00,100.47
2586.00,100.48
2585.00,100.48
2584.00,100.48
2583.00,100.47
2582.00,100.45
2581.00,100.45
2580.00,100.46
2579.00,100.47
2578.00,100.47
2577.00,100.46
2576.00,100.45
2575.00,100.45
2574.00,100.45
2573.00,100.46
2572.00,100.46
2571.00,100.47
2570.00,100.47
2569.00,100.47
2568.00,100.46
2567.00,100.45
2566.00,100.44
2565.00,100.43
2564.00,100.43
2563.00,100.43
2562.00,100.43
2561.00,100.43
2560.00,100.43
2559.00,100.43
2558.00,100.42
2557.00,100.41
2556.00,100.41
2555.00,100.42
2554.00,100.42
2553.00,100.42
2552.00,100.41
2551.00,100.40
2550.00,100.42
2549.00,100.44
2548.00,100.44
2547.00,100.44
2546.00,100.43
2545.00,100.44
2544.00,100.46
2543.00,100.48
2542.00,100.48
2541.00,100.48
2540.00,100.47
2539.00,100.46
2538.00,100.45
2537.00,100.45
2536.00,100.44
2535.00,100.43
2534.00,100.43
2533.00,100.44
2532.00,100.46
2531.00,100.49
2530.00,100.50
2529.00,100.49
2528.00,100.47
2527.00,100.44
2526.00,100.42
2525.00,100.41
2524.00,100.41
2523.00,100.42
2522.00,100.42
2521.00,100.43
2520.00,100.43
2519.00,100.42
2518.00,100.41
2517.00,100.38
2516.00,100.37
2515.00,100.38
2514.00,100.40
2513.00,100.43
2512.00,100.46
2511.00,100.48
2510.00,100.49
2509.00,100.49
2508.00,100.49
2507.00,100.49
2506.00,100.49
2505.00,100.49
2504.00,100.48
2503.00,100.48
2502.00,100.48
2501.00,100.48
2500.00,100.47
2499.00,100.46
2498.00,100.45
2497.00,100.45
