Created as New Dataset,133. Allied Signal Fibers
cm-1,%T
3251.00,91.23
3250.00,91.22
3249.00,91.19
3248.00,91.16
3247.00,91.15
3246.00,91.15
3245.00,91.15
3244.00,91.14
3243.00,91.12
3242.00,91.10
3241.00,91.09
3240.00,91.09
3239.00,91.09
3238.00,91.09
3237.00,91.08
3236.00,91.07
3235.00,91.07
3234.00,91.07
3233.00,91.07
3232.00,91.06
3231.00,91.05
3230.00,91.05
3229.00,91.05
3228.00,91.06
3227.00,91.06
3226.00,91.08
3225.00,91.10
3224.00,91.11
3223.00,91.12
3222.00,91.11
3221.00,91.09
3220.00,91.08
3219.00,91.08
3218.00,91.09
3217.00,91.09
3216.00,91.09
3215.00,91.08
3214.00,91.06
3213.00,91.04
3212.00,91.04
3211.00,91.05
3210.00,91.08
3209.00,91.09
3208.00,91.09
3207.00,91.09
3206.00,91.08
3205.00,91.06
3204.00,91.05
3203.00,91.03
3202.00,91.02
3201.00,91.02
3200.00,91.04
3199.00,91.06
3198.00,91.07
3197.00,91.07
3196.00,91.06
3195.00,91.05
3194.00,91.05
3193.00,91.04
3192.00,91.04
3191.00,91.03
3190.00,91.03
3189.00,91.05
3188.00,91.06
3187.00,91.08
3186.00,91.08
3185.00,91.08
3184.00,91.07
3183.00,91.05
3182.00,91.04
3181.00,91.04
3180.00,91.04
3179.00,91.04
3178.00,91.04
3177.00,91.05
3176.00,91.06
3175.00,91.08
3174.00,91.09
3173.00,91.08
3172.00,91.06
3171.00,91.04
3170.00,91.03
3169.00,91.03
3168.00,91.03
3167.00,91.04
3166.00,91.05
3165.00,91.07
3164.00,91.08
3163.00,91.08
3162.00,91.08
3161.00,91.06
3160.00,91.06
3159.00,91.07
3158.00,91.07
3157.00,91.08
3156.00,91.07
3155.00,91.06
3154.00,91.05
3153.00,91.05
3152.00,91.06
3151.00,91.05
3150.00,91.04
3149.00,91.03
3148.00,91.02
3147.00,91.03
3146.00,91.05
3145.00,91.06
3144.00,91.05
3143.00,91.04
3142.00,91.02
3141.00,91.01
3140.00,91.01
3139.00,91.01
3138.00,91.01
3137.00,91.01
3136.00,91.02
3135.00,91.02
3134.00,91.02
3133.00,91.02
3132.00,91.01
3131.00,91.00
3130.00,90.99
3129.00,90.99
3128.00,90.98
3127.00,90.98
3126.00,90.99
3125.00,91.00
3124.00,91.01
3123.00,91.01
3122.00,91.01
3121.00,90.99
3120.00,90.97
3119.00,90.96
3118.00,90.96
3117.00,90.95
3116.00,90.94
3115.00,90.93
3114.00,90.93
3113.00,90.93
3112.00,90.93
3111.00,90.91
3110.00,90.90
3109.00,90.89
3108.00,90.89
3107.00,90.88
3106.00,90.87
3105.00,90.86
3104.00,90.85
3103.00,90.84
3102.00,90.83
3101.00,90.81
3100.00,90.79
3099.00,90.76
3098.00,90.71
3097.00,90.67
3096.00,90.63
3095.00,90.61
3094.00,90.60
3093.00,90.59
3092.00,90.58
3091.00,90.56
3090.00,90.54
3089.00,90.52
3088.00,90.50
3087.00,90.46
3086.00,90.43
3085.00,90.40
3084.00,90.37
3083.00,90.34
3082.00,90.31
3081.00,90.28
3080.00,90.26
3079.00,90.24
3078.00,90.23
3077.00,90.22
3076.00,90.19
3075.00,90.14
3074.00,90.11
3073.00,90.09
3072.00,90.08
3071.00,90.06
3070.00,90.02
3069.00,89.96
3068.00,89.91
3067.00,89.88
3066.00,89.86
3065.00,89.87
3064.00,89.89
3063.00,89.91
3062.00,89.92
3061.00,89.93
3060.00,89.94
3059.00,89.97
3058.00,90.02
3057.00,90.08
3056.00,90.14
3055.00,90.17
3054.00,90.19
3053.00,90.19
3052.00,90.18
3051.00,90.17
3050.00,90.16
3049.00,90.16
3048.00,90.16
3047.00,90.15
3046.00,90.15
3045.00,90.14
3044.00,90.14
3043.00,90.14
3042.00,90.17
3041.00,90.22
3040.00,90.28
3039.00,90.33
3038.00,90.38
3037.00,90.43
3036.00,90.47
3035.00,90.50
3034.00,90.52
3033.00,90.52
3032.00,90.52
3031.00,90.52
3030.00,90.52
3029.00,90.53
3028.00,90.55
3027.00,90.58
3026.00,90.61
3025.00,90.64
3024.00,90.65
3023.00,90.66
3022.00,90.66
3021.00,90.66
3020.00,90.66
3019.00,90.66
3018.00,90.64
3017.00,90.63
3016.00,90.62
3015.00,90.60
3014.00,90.58
3013.00,90.55
3012.00,90.51
3011.00,90.48
3010.00,90.44
3009.00,90.41
3008.00,90.39
3007.00,90.37
3006.00,90.34
3005.00,90.29
3004.00,90.23
3003.00,90.17
3002.00,90.11
3001.00,90.05
3000.00,89.99
2999.00,89.92
2998.00,89.85
2997.00,89.76
2996.00,89.68
2995.00,89.59
2994.00,89.50
2993.00,89.43
2992.00,89.39
2991.00,89.37
2990.00,89.38
2989.00,89.41
2988.00,89.45
2987.00,89.48
2986.00,89.49
2985.00,89.47
2984.00,89.43
2983.00,89.40
2982.00,89.37
2981.00,89.33
2980.00,89.27
2979.00,89.19
2978.00,89.09
2977.00,88.99
2976.00,88.90
2975.00,88.83
2974.00,88.78
2973.00,88.74
2972.00,88.70
2971.00,88.66
2970.00,88.64
2969.00,88.64
2968.00,88.65
2967.00,88.67
2966.00,88.69
2965.00,88.71
2964.00,88.73
2963.00,88.75
2962.00,88.77
2961.00,88.80
2960.00,88.84
2959.00,88.88
2958.00,88.93
2957.00,88.97
2956.00,89.03
2955.00,89.09
2954.00,89.15
2953.00,89.21
2952.00,89.27
2951.00,89.33
2950.00,89.40
2949.00,89.45
2948.00,89.51
2947.00,89.56
2946.00,89.62
2945.00,89.67
2944.00,89.72
2943.00,89.75
2942.00,89.77
2941.00,89.78
2940.00,89.81
2939.00,89.84
2938.00,89.87
2937.00,89.89
2936.00,89.89
2935.00,89.89
2934.00,89.88
2933.00,89.87
2932.00,89.87
2931.00,89.87
2930.00,89.88
2929.00,89.90
2928.00,89.89
2927.00,89.87
2926.00,89.85
2925.00,89.82
2924.00,89.79
2923.00,89.77
2922.00,89.74
2921.00,89.70
2920.00,89.67
2919.00,89.63
2918.00,89.58
2917.00,89.53
2916.00,89.48
2915.00,89.42
2914.00,89.35
2913.00,89.27
2912.00,89.19
2911.00,89.12
2910.00,89.07
2909.00,89.04
2908.00,89.03
2907.00,89.05
2906.00,89.09
2905.00,89.15
2904.00,89.22
2903.00,89.29
2902.00,89.36
2901.00,89.43
2900.00,89.50
2899.00,89.56
2898.00,89.60
2897.00,89.64
2896.00,89.67
2895.00,89.71
2894.00,89.76
2893.00,89.81
2892.00,89.85
2891.00,89.87
2890.00,89.87
2889.00,89.86
2888.00,89.85
2887.00,89.85
2886.00,89.87
2885.00,89.89
2884.00,89.92
2883.00,89.94
2882.00,89.97
2881.00,90.00
2880.00,90.03
2879.00,90.07
2878.00,90.11
2877.00,90.14
2876.00,90.15
2875.00,90.16
2874.00,90.15
2873.00,90.15
2872.00,90.16
2871.00,90.17
2870.00,90.18
2869.00,90.19
2868.00,90.21
2867.00,90.23
2866.00,90.26
2865.00,90.27
2864.00,90.28
2863.00,90.28
2862.00,90.27
2861.00,90.26
2860.00,90.26
2859.00,90.28
2858.00,90.30
2857.00,90.32
2856.00,90.33
2855.00,90.34
2854.00,90.34
2853.00,90.34
2852.00,90.35
2851.00,90.35
2850.00,90.36
2849.00,90.38
2848.00,90.40
2847.00,90.43
2846.00,90.47
2845.00,90.50
2844.00,90.54
2843.00,90.57
2842.00,90.60
2841.00,90.62
2840.00,90.65
2839.00,90.66
2838.00,90.67
2837.00,90.69
2836.00,90.70
2835.00,90.70
2834.00,90.71
2833.00,90.70
2832.00,90.70
2831.00,90.70
2830.00,90.70
2829.00,90.72
2828.00,90.73
2827.00,90.75
2826.00,90.76
2825.00,90.77
2824.00,90.77
2823.00,90.77
2822.00,90.77
2821.00,90.77
2820.00,90.77
2819.00,90.77
2818.00,90.77
2817.00,90.76
2816.00,90.77
2815.00,90.78
2814.00,90.79
2813.00,90.80
2812.00,90.81
2811.00,90.81
2810.00,90.81
2809.00,90.80
2808.00,90.79
2807.00,90.77
2806.00,90.77
2805.00,90.78
2804.00,90.80
2803.00,90.82
2802.00,90.84
2801.00,90.86
2800.00,90.86
2799.00,90.85
2798.00,90.83
2797.00,90.83
2796.00,90.83
2795.00,90.84
2794.00,90.85
2793.00,90.86
2792.00,90.87
2791.00,90.88
2790.00,90.88
2789.00,90.88
2788.00,90.88
2787.00,90.89
2786.00,90.90
2785.00,90.91
2784.00,90.92
2783.00,90.93
2782.00,90.94
2781.00,90.95
2780.00,90.96
2779.00,90.97
2778.00,90.96
2777.00,90.96
2776.00,90.95
2775.00,90.93
2774.00,90.91
2773.00,90.89
2772.00,90.88
2771.00,90.88
2770.00,90.89
2769.00,90.90
2768.00,90.90
